province_name,island_group
Aceh,Sumatera
Sumatera Utara,Sumatera
Sumatera Barat,Sumatera
Riau,Sumatera
Kepulauan Riau,Sumatera
Jambi,Sumatera
Sumatera Selatan,Sumatera
Kepulauan Bangka Belitung,Sumatera
Bengkulu,Sumatera
Lampung,Sumatera
DKI Jakarta,Jawa
Jawa Barat,Jawa
Banten,Jawa
Jawa Tengah,Jawa
DI Yogyakarta,Jawa
Jawa Timur,Jawa
Bali,Nusa Tenggara
Nusa Tenggara Barat,Nusa Tenggara
Nusa Tenggara Timur,Nusa Tenggara
Kalimantan Barat,Kalimantan
Kalimantan Tengah,Kalimantan
Kalimantan Timur,Kalimantan
Kalimantan Selatan,Kalimantan
Kalimantan Utara,Kalimantan
Sulawesi Utara,Sulawesi
Gorontalo,Sulawesi
Sulawesi Tengah,Sulawesi
Sulawesi Barat,Sulawesi
Sulawesi Selatan,Sulawesi
Sulawesi Tenggara,Sulawesi
Maluku,Maluku
Maluku Utara,Maluku
Papua,Papua
Papua Barat,Papua
