province_name,gdp_per_capita_2023
Aceh,38.2
Sumatera Utara,55.8
Sumatera Barat,45.3
Riau,98.7
Kepulauan Riau,142.5
Jambi,52.1
Sumatera Selatan,48.6
Kepulauan Bangka Belitung,51.4
Bengkulu,35.8
Lampung,40.2
DKI Jakarta,268.3
Jawa Barat,42.1
Banten,53.7
Jawa Tengah,39.8
DI Yogyakarta,36.5
Jawa Timur,52.4
Bali,56.9
Nusa Tenggara Barat,27.3
Nusa Tenggara Timur,21.4
Kalimantan Barat,38.9
Kalimantan Tengah,52.6
Kalimantan Timur,178.4
Kalimantan Selatan,47.2
Kalimantan Utara,121.8
Sulawesi Utara,45.6
Gorontalo,28.9
Sulawesi Tengah,48.3
Sulawesi Barat,30.1
Sulawesi Selatan,52.7
Sulawesi Tenggara,42.8
Maluku,29.5
Maluku Utara,33.7
Papua,44.6
Papua Barat,72.3
