province_name,pop_density
Aceh,92.4
Sumatera Utara,196.8
Sumatera Barat,131.2
Riau,77.5
Kepulauan Riau,297.3
Jambi,69.8
Sumatera Selatan,96.4
Kepulauan Bangka Belitung,87.6
Bengkulu,96.2
Lampung,247.8
DKI Jakarta,15978.0
Jawa Barat,1394.2
Banten,1338.5
Jawa Tengah,1058.7
DI Yogyakarta,1213.4
Jawa Timur,838.6
Bali,747.8
Nusa Tenggara Barat,278.4
Nusa Tenggara Timur,110.6
Kalimantan Barat,35.8
Kalimantan Tengah,18.6
Kalimantan Timur,29.4
Kalimantan Selatan,102.8
Kalimantan Utara,9.8
Sulawesi Utara,178.4
Gorontalo,98.6
Sulawesi Tengah,46.2
Sulawesi Barat,81.4
Sulawesi Selatan,192.6
Sulawesi Tenggara,73.8
Maluku,38.4
Maluku Utara,38.2
Papua,12.6
Papua Barat,11.8
